"","name","ratingOverall","ratingKeyword","totalReviews","atmosphere","cleanliness","facilities","location","security","staff","valueformoney","address"
"1","
                        Uno Ueno
                    ","
            8.9
        ","Fabulous","210 Total Reviews",7.6,9.4,8.7,9.3,9.1,9.5,9,"1-23-7 Higashiueno, Taito-ku"
"2","
                        Sakura Hotel Nippori
                    ","
            9.4
        ","Superb","31 Total Reviews",8.3,9,9.7,9.7,10,9.7,9.7,"3-43-15 Sendagi, Bunkyo-ku"
"3","
                        Hotel Graphy Nezu
                    ","
            8.7
        ","Fabulous","458 Total Reviews",8.7,9,8.8,7.8,9.2,9,8.6,"Ikenohata 4-5-10, Taito–ku"
"4","
                        Tokyo Hostel Fuji
                    ","
            9.1
        ","Superb","247 Total Reviews",8.5,9.5,9.2,8.9,9.2,9.5,9.2,"2-23-2 Yayoi-cho Nakano-ku Tokyo"
"5","
                        Hostel WAQWAQ Tokyo Ueno Asakusa
                    ","
            8.3
        ","Fabulous","61 Total Reviews",8,8.7,8.7,8.7,7.1,8.5,8.5,"2-20-2, Kitaueno, Taito-ku, Tokyo"
"6","
                        Tadaima Japan Shinjuku Ryokan
                    ","
            8.4
        ","Fabulous","15 Total Reviews",7.8,9.6,8.2,8.7,8.7,8.4,7.6,"12-4 Arakicho Shinjuku-ku Tokyo"
"7","
                        bnb+Tokyo Tamachi
                    ","
            10.0
        ","Superb","1 Total Review",10,10,10,10,10,10,10,"blight building 3F 3-20-9 Shibaura Minato-ku Tokyo"
"8","
                        Koenji Junjo Hotel
                    ","
            8.4
        ","Fabulous","4 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"4-40-20,Koenjiminami,Suginami-ku"
"9","
                        Asakusahotel Wasou
                    ","
            8.6
        ","Fabulous","28 Total Reviews",8.7,8.7,8,8.7,8,8,10,"3-7-2,Asakusa, Taito-ku, Asakusa"
"10","
                        Capsule Hotel Anshin Oyado Akihabara
                    ","
            8.3
        ","Fabulous","3 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"1-2-12 Sotokanda, Chiyoda-ku, Tokyo"
"11","
                        Tokyo House Inn
                    ","
            8.0
        ","Fabulous","60 Total Reviews",8,8,8,8,8,8,8,"1 Chome-12-27 okubo, Shinjuku-ku,Tokyo"
"12","
                        Oak Hotel Edo
                    ","
            7.1
        ","Very Good","8 Total Reviews",4,10,6,8,6,8,8,"2-17-7 Morisita,Koto Ku ,Tokyo"
"13","
                        Japanize Guest House
                    ","
            8.1
        ","Fabulous","101 Total Reviews",7,7,8,9,8,9,9,"1 Chome-5-6 Nihonbashibakurocho, Chuo-ku Tokyo"
"14","
                        Capsule Resort Kyoto Square
                    ","
            9.2
        ","Superb","34 Total Reviews",8.3,10,10,9.2,9.5,9.3,8.2,"233,Oshiaburanokoujicho,Nakagyouku,Kyoto"
"15","
                        Guest House Shiori Ann
                    ","
            9.0
        ","Superb","73 Total Reviews",8.4,9.2,9.1,9.3,9.2,9.2,9,"339 Kagiya-cho, Kagiyamachi  Karasuma – nishiiru, Shimogyo-ku"
"16","
                        New World Inn
                    ","
            8.2
        ","Fabulous","3 Total Reviews",6,8,8,8.7,9.3,9.3,8,"1-5-6 Taishi, Nishinari-ku, Osaka-shi, Osaka"
"17","
                        Shell Nell namba
                    ","
            8.7
        ","Fabulous","8 Total Reviews",7.5,8.5,8.5,9,9.5,9,9,"1/F,Nipponbashi Center Bldg,2-9-16 Nipponbashi, Chuo-ku,Osaka-shi Osaka"
"18","
                        Goen Lounge&Stay
                    ","
            9.4
        ","Superb","5 Total Reviews",10,10,8,8,10,10,10,"T-SITE ANNEX II 5F Okahigashi-cho8-9, Hirakata, Osaka"
"19","
                        Hotel Shin-Imamiya
                    ","
            7.1
        ","Very Good","26 Total Reviews",6,6.5,6.5,8.5,7,7.5,8,"1-2-20 Haginochaya, Nishinari-ku"
