"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"1","Uno Ueno","https://www.hostelworld.com/hosteldetails.php/Uno-Ueno/Tokyo/280247",8.9,"CA$26.19","8.2km from city centre  - Show on Map"
"2","Sakura Hotel Nippori","https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Nippori/Tokyo/277119",9.4,"CA$22.50","7.8km from city centre  - Show on Map"
"3","Hotel Graphy Nezu","https://www.hostelworld.com/hosteldetails.php/Hotel-Graphy-Nezu/Tokyo/73386",8.7,"CA$21.42","7.6km from city centre  - Show on Map"
"4","Tokyo Hostel Fuji","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hostel-Fuji/Tokyo/271785",9.1,"CA$23.81","1.6km from city centre  - Show on Map"
"5","Hostel WAQWAQ Tokyo Ueno Asakusa","https://www.hostelworld.com/hosteldetails.php/Hostel-WAQWAQ-Tokyo-Ueno-Asakusa/Tokyo/284498",8.3,"CA$19.50","9km from city centre  - Show on Map"
"6","Tadaima Japan Shinjuku Ryokan","https://www.hostelworld.com/hosteldetails.php/Tadaima-Japan-Shinjuku-Ryokan/Tokyo/284493",8.4,"CA$77.13","2.8km from city centre  - Show on Map"
"7","bnb+Tokyo Tamachi","https://www.hostelworld.com/hosteldetails.php/bnbTokyo-Tamachi/Tokyo/293757",10,"CA$23.81","7.3km from city centre  - Show on Map"
"8","Koenji Junjo Hotel","https://www.hostelworld.com/hosteldetails.php/Koenji-Junjo-Hotel/Tokyo/285896",8.4,"CA$35.71","3.9km from city centre  - Show on Map"
"9","Asakusahotel Wasou","https://www.hostelworld.com/hosteldetails.php/Asakusahotel-Wasou/Tokyo/271945",8.6,"CA$23.81","9.9km from city centre  - Show on Map"
"10","Capsule Hotel Anshin Oyado Akihabara","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Akihabara/Tokyo/281075",8.3,"CA$73.68","7.2km from city centre  - Show on Map"
"11","Capsule Hotel Anshin Oyado Shinbashi","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Shinbashi/Tokyo/281072",0,"CA$80.34","6.6km from city centre  - Show on Map"
"12","Tokyo House Inn","https://www.hostelworld.com/hosteldetails.php/Tokyo-House-Inn/Tokyo/272913",8,"CA$45.23","1.5km from city centre  - Show on Map"
"13","Oak Hotel Edo","https://www.hostelworld.com/hosteldetails.php/Oak-Hotel-Edo/Tokyo/272749",7.1,"CA$26.19","9.7km from city centre  - Show on Map"
"14","Japanize Guest House","https://www.hostelworld.com/hosteldetails.php/Japanize-Guest-House/Tokyo/273068",8.1,"CA$22.62","8.1km from city centre  - Show on Map"
"15","Asakusa Central Hotel","https://www.hostelworld.com/hosteldetails.php/Asakusa-Central-Hotel/Tokyo/12220",0,"CA$77.37","9.6km from city centre  - Show on Map"
"16","Capsule Resort Kyoto Square","https://www.hostelworld.com/hosteldetails.php/Capsule-Resort-Kyoto-Square/Kyoto/273342",9.2,"CA$38.09","1.3km from city centre  - Show on Map"
"17","Guest House Shiori Ann","https://www.hostelworld.com/hosteldetails.php/Guest-House-Shiori-Ann/Kyoto/82268",9,"CA$17.50","2km from city centre  - Show on Map"
"18","FUGASTAY Shijo Omiya","https://www.hostelworld.com/hosteldetails.php/FUGASTAY-Shijo-Omiya/Kyoto/294324",0,"CA$29.76","1.8km from city centre  - Show on Map"
"19","Seibido Inn","https://www.hostelworld.com/hosteldetails.php/Seibido-Inn/Kyoto/269998",0,"CA$22.62","0.4km from city centre  - Show on Map"
"20","Hotel Rejoice Stay Kyoto Karasuma Oike","https://www.hostelworld.com/hosteldetails.php/Hotel-Rejoice-Stay-Kyoto-Karasuma-Oike/Kyoto/284529",0,"CA$71.42","0km from city centre  - Show on Map"
"21","Guesthouse Ryoan-Ori","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Ryoan-Ori/Kyoto/290682",0,"CA$33.33","3.3km from city centre  - Show on Map"
"22","Japaning Hotel Fushimiinari","https://www.hostelworld.com/hosteldetails.php/Japaning-Hotel-Fushimiinari/Kyoto/281334",0,"CA$11902.76","4.8km from city centre  - Show on Map"
"23","New World Inn","https://www.hostelworld.com/hosteldetails.php/New-World-Inn/Osaka/276006",8.2,"CA$20.23","6.5km from city centre  - Show on Map"
"24","Shell Nell namba","https://www.hostelworld.com/hosteldetails.php/Shell-Nell-namba/Osaka/270314",8.7,"CA$11902.76","4.8km from city centre  - Show on Map"
"25","Goen Lounge&Stay","https://www.hostelworld.com/hosteldetails.php/Goen-LoungeStay/Osaka/271766",9.4,"CA$23.57","18.2km from city centre  - Show on Map"
"26","Hotel Shin-Imamiya","https://www.hostelworld.com/hosteldetails.php/Hotel-Shin-Imamiya/Osaka/270649",7.1,"CA$20.00","6.3km from city centre  - Show on Map"
"27","GUSH Shinsaibashi","https://www.hostelworld.com/hosteldetails.php/GUSH-Shinsaibashi/Osaka/281773",0,"CA$35.71","3.7km from city centre  - Show on Map"
"28","Hotel July","https://www.hostelworld.com/hosteldetails.php/Hotel-July/Osaka/280881",0,"CA$113.08","4.6km from city centre  - Show on Map"
"29","Poka Poka Hotel","https://www.hostelworld.com/hosteldetails.php/Poka-Poka-Hotel/Osaka/290889",0,"CA$35.71","4.5km from city centre  - Show on Map"
"30","Hotel Kaga","https://www.hostelworld.com/hosteldetails.php/Hotel-Kaga/Osaka/72373",0,"CA$23.81","6.5km from city centre  - Show on Map"
