"","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17..","c.1..2..3..2..4..4..1..5..4..6..4..3..7..2..1..2..3..8..9..1..","c.1..1..1..1..2..2..1..2..2..1..2..1..2..1..1..1..1..1..1..1..","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17...1","c.9.4..8.7..8.3..8.5..7.7..8.2..8.7..8.1..8.3..9.6..8.1..8.4..","c.9.7..9.6..9.4..9.5..9.3..9.1..9.8..9..9.4..9.8..9.5..9.3..8.6..","c.9.7..9.1..8.7..9.6..8.8..8.8..9.2..8.6..8.6..9.5..9.1..8.9..","c.7.8..8.9..8.7..8.7..9.2..8.9..9.3..8..9..9..8.5..9.1..8.9..","c.9.7..9.2..9.6..9.5..9.2..9.2..9.7..9.2..9.1..9.5..9.5..9.2..","c.9.8..9.5..9.4..9.5..9.5..9.3..9.6..9.3..9..9.9..9..9.2..8.6..","c.9.5..9.3..9..9.2..8.9..8.9..9.4..8.6..8.7..9.6..8.8..9..8.7.."
"1",1,1,1,1,9.4,9.7,9.7,7.8,9.7,9.8,9.5
"2",2,2,1,2,8.7,9.6,9.1,8.9,9.2,9.5,9.3
"3",3,3,1,3,8.3,9.4,8.7,8.7,9.6,9.4,9
"4",4,2,1,4,8.5,9.5,9.6,8.7,9.5,9.5,9.2
"5",5,4,2,5,7.7,9.3,8.8,9.2,9.2,9.5,8.9
"6",6,4,2,6,8.2,9.1,8.8,8.9,9.2,9.3,8.9
"7",7,1,1,7,8.7,9.8,9.2,9.3,9.7,9.6,9.4
"8",8,5,2,8,8.1,9,8.6,8,9.2,9.3,8.6
"9",9,4,2,9,8.3,9.4,8.6,9,9.1,9,8.7
"10",10,6,1,10,9.6,9.8,9.5,9,9.5,9.9,9.6
"11",11,4,2,11,8.1,9.5,9.1,8.5,9.5,9,8.8
"12",12,3,1,12,8.4,9.3,8.9,9.1,9.2,9.2,9
"13",13,7,2,13,7.5,8.6,8.3,8.9,8.8,8.6,8.7
"14",14,2,1,14,8.5,9.5,9.4,9.1,9.6,9.4,9
"15",15,1,1,15,8.3,9,9.7,9.7,10,9.7,9.7
"16",16,2,1,16,9.6,9.4,9,8.4,9.2,9.6,9.2
"17",17,3,1,17,8.8,9,8.9,8.9,9.2,9.3,9
"18",18,8,1,18,8.9,9.3,9.1,8.6,9.5,9.3,8.9
"19",19,9,1,19,9.4,9.7,9.6,9,9.4,9.7,9.5
"20",20,1,1,20,9.1,9.7,9.6,8.8,9.6,9.7,9.3
"21",21,9,1,21,9.3,9.8,9.5,9.3,9.6,9.7,9.3
"22",22,9,1,22,9.4,9.6,9.3,9.3,9.5,9.8,9.4
"23",23,3,1,23,8.7,9.1,8.7,8.8,8.9,9.4,9.2
"24",24,9,1,24,9.3,9.9,9.6,9,9.5,9.7,9.5
"25",25,10,1,25,9,9.5,9.2,9,9.4,9.6,9.1
"26",26,11,2,26,8.4,9.1,8.6,9.3,8.8,9.2,8.6
"27",27,4,2,25,8.3,9.3,8.8,9.7,8,9.4,9.1
"28",28,10,1,27,9,10,9,9,9.8,9.3,9.3
"29",29,12,2,28,6.9,7.6,7.8,8.5,8.5,8.2,8.5
"30",30,5,2,29,8.6,9,8.8,7.7,9.2,9,8.7
"31",31,13,1,30,9.3,10,9.9,10,9.6,9.7,9.3
"32",32,3,1,31,8.2,9.1,8.8,9.3,9.4,9.6,8.9
"33",33,14,3,32,8.2,6.8,7.4,7.3,7.5,9.1,8.5
"34",34,8,1,33,8.3,9.4,9.2,9.4,9.1,9.1,9.4
"35",35,10,1,34,8.9,9.4,9.2,9.6,9.3,9.8,9.3
"36",36,1,1,35,8.9,9.3,9.2,9.3,9.5,9.8,9.5
"37",37,15,2,36,7.8,7,7.5,8.9,8.3,8.5,8.5
"38",38,8,1,37,8.6,9.2,8.6,9.1,9.4,9.5,9.2
"39",39,9,1,38,9,9.9,9.6,8.9,9.6,9.8,9.6
"40",40,11,2,39,7.8,9.2,9.2,8.9,9.2,9.1,8.1
"41",41,5,2,40,7.8,8.8,8.9,8.8,9.5,8.8,8.6
"42",42,7,2,15,7.7,8.9,8.2,8.8,8.9,9.1,8
"43",43,5,2,41,8.7,8,8.7,8.3,8.7,9.3,9
"44",44,3,1,42,8.9,8.7,9,8.6,9.3,9.3,9.2
"45",45,16,1,43,9.4,10,10,9.7,9.7,10,10
"46",46,8,1,38,8.2,9.5,9.3,8.9,9.3,9.5,9.1
"47",47,17,3,44,6.5,7.6,7.1,8.6,7.8,8.3,7.8
"48",48,2,1,45,8.5,9.6,9,8.8,9.5,9.6,9.2
"49",49,18,3,13,6.6,8.3,7.7,7.7,7.7,7.7,7.4
"50",50,3,1,46,8,9,8.7,9.7,9.3,9.1,9.3
"51",51,2,1,47,8.3,10,8.8,9,9.7,9.3,9.3
"52",52,19,2,48,7.8,8.6,7.6,8.1,8.1,8.9,7.9
"53",53,10,1,49,9.7,10,9.7,8.3,9.3,9.7,8.7
"54",54,4,2,50,8.5,10,8.8,8.3,8.5,9.3,9.3
"55",55,8,1,51,8.5,9.5,8.3,9,9.5,9.5,9.5
"56",56,20,2,52,8,8.8,8.8,8.7,7.3,8.7,8.7
"57",57,4,2,53,9.2,9.4,8.8,8.2,8.6,9.1,9.4
"58",58,11,2,54,7.8,9.8,7.8,9.3,9.8,9,8.3
"59",59,13,1,55,9,10,9.7,9.9,9.9,10,9.7
"60",60,3,1,56,7.9,8.6,9,9.4,9.6,9.1,9.3
"61",61,20,2,57,8,7.9,8,9.3,8.3,8.9,8.9
"62",62,12,2,58,7.4,8.4,7.4,7.7,8.4,8.3,8
