"","Link"
"1","https://www.hostelworld.com/hostels/Tokyo"
"2","https://www.hostelworld.com/hostels/Tokyo?page=2"
"3","https://www.hostelworld.com/hostels/Tokyo?page=3"
"4","https://www.hostelworld.com/hostels/Tokyo?page=4"
"5","https://www.hostelworld.com/hostels/Tokyo?page=5"
"6","https://www.hostelworld.com/hostels/Kyoto/Japan"
"7","https://www.hostelworld.com/hostels/Kyoto/Japan?page=2"
"8","https://www.hostelworld.com/hostels/Kyoto/Japan?page=3"
"9","https://www.hostelworld.com/hostels/Kyoto/Japan?page=4"
"10","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan"
"11","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=2"
"12","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=3"
"13","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=4"
"14","https://www.hostelworld.com/findabed.php/ChosenCity.Hiroshima/ChosenCountry.Japan"
"15","https://www.hostelworld.com/findabed.php/ChosenCity.Fukuoka/ChosenCountry.Japan"
