"","name","ratingOverall","ratingKeyword","totalReviews","atmosphere","cleanliness","facilities","location","security","staff","valueformoney","address"
"1","
                        Emblem Hostel Nishiarai
                    ","
            9.4
        ","Superb","1604 Total Reviews",9.4,9.7,9.7,7.8,9.7,9.8,9.5,"Umejima 3-33-6, Adachi-ku"
"2","
                        Space Hostel Tokyo
                    ","
            9.2
        ","Superb","1631 Total Reviews",8.7,9.6,9.2,8.9,9.2,9.5,9.3,"2-26-11 Kitaueno, Taito-ku"
"3","
                        Hop Step Inn
                    ","
            9.2
        ","Superb","217 Total Reviews",8.5,9.4,9.5,8.6,9.6,9.5,9.1,"1 Chome-19-5, Kita-ku, Oji,Tokyo"
"4","
                        Planetyze Hostel
                    ","
            9.0
        ","Superb","275 Total Reviews",8.3,9.3,8.6,8.6,9.6,9.3,8.9,"2-24-9 Higashinihonbashi,Chuo-ku,Tokyo"
"5","
                        Uno Ueno
                    ","
            8.9
        ","Fabulous","210 Total Reviews",7.6,9.4,8.7,9.3,9.1,9.5,9,"1-23-7 Higashiueno, Taito-ku"
"6","
                        Grids Tokyo Asakusa-Bashi Hotel&Hostel
                    ","
            9.3
        ","Superb","98 Total Reviews",8.6,9.6,9,9.2,9.7,9.5,9.2,"11-6, 4Cho-Me Asakusabashi, Taito-ku"
"7","
                        Sakura Hostel Asakusa
                    ","
            8.9
        ","Fabulous","1919 Total Reviews",8.2,9.1,8.9,8.9,9.2,9.4,8.9,"2-24-2 Asakusa, Taito-ku"
"8","
                        Oakhostel Cabin
                    ","
            8.7
        ","Fabulous","1060 Total Reviews",8,9,8.6,8,9.2,9.3,8.6,"1-16 Hakozaki-cho, Nihonbashi, Chuo-ku, Tokyo Station / Nihonbashi"
"9","
                        Imano Tokyo Ginza Hostel
                    ","
            8.7
        ","Fabulous","129 Total Reviews",8.1,9.2,8.6,8.7,8.9,8.7,8.5,"1-5-10 Shintomi Chuo-ku, Tokyo"
"10","
                        Hostel bedgasm
                    ","
            9.6
        ","Superb","931 Total Reviews",9.6,9.8,9.5,9,9.5,10,9.6,"Iriya 2-29-2, Taito-ku"
"11","
                        GRIDS TOKYO AKIHABARA HOTEL&HOSTEL
                    ","
            8.9
        ","Fabulous","358 Total Reviews",8.1,9.4,9.2,8.6,9.5,8.8,8.8,"2-8-16, Higashi Kanda, Chiyoda-ku"
"12","
                        Bunka Hostel Tokyo
                    ","
            9.2
        ","Superb","431 Total Reviews",8.5,9.5,9.1,9.3,9.3,9.3,9.1,"13-5. 1-Chome, Asakusa, Taito-ku"
"13","
                        Sakura Hotel Nippori
                    ","
            9.4
        ","Superb","31 Total Reviews",8.3,9,9.7,9.7,10,9.7,9.7,"3-43-15 Sendagi, Bunkyo-ku"
"14","
                        Guesthouse Fete
                    ","
            9.2
        ","Superb","179 Total Reviews",9.6,9.4,9,8.4,9.2,9.6,9.2,"1-chome 39-1, Ishiwara"
"15","
                        Wise Owl Hostels Tokyo
                    ","
            9.2
        ","Superb","1021 Total Reviews",8.5,9.5,9.4,9.1,9.6,9.4,9,"3-22-9 Hatchobori, Chuo-ku"
"16","
                        Nui. Hostel & Bar Lounge
                    ","
            9.5
        ","Superb","1324 Total Reviews",9.4,9.7,9.6,9,9.4,9.7,9.5,"2-14-13, Kuramae,, Taito-ku"
"17","
                        Anne Hostel Yokozuna
                    ","
            9.0
        ","Superb","2450 Total Reviews",8.7,8.9,8.8,8.9,9.2,9.3,9,"4-38-5 Ryogoku, Sumida-ku"
