"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"1","Emblem Hostel Nishiarai","https://www.hostelworld.com/hosteldetails.php/Emblem-Hostel-Nishiarai/Tokyo/102785",9.4,"CA$23.95","13.3km from city centre  - Show on Map"
"2","Space Hostel Tokyo","https://www.hostelworld.com/hosteldetails.php/Space-Hostel-Tokyo/Tokyo/91519",9.2,"CA$26.34","9.1km from city centre  - Show on Map"
"3","Hop Step Inn","https://www.hostelworld.com/hosteldetails.php/Hop-Step-Inn/Tokyo/279329",9.2,"CA$26.34","8.5km from city centre  - Show on Map"
"4","Planetyze Hostel","https://www.hostelworld.com/hosteldetails.php/Planetyze-Hostel/Tokyo/275223",9,"CA$28.74","8.5km from city centre  - Show on Map"
"5","Uno Ueno","https://www.hostelworld.com/hosteldetails.php/Uno-Ueno/Tokyo/280247",8.9,"CA$28.74","8.2km from city centre  - Show on Map"
"6","Grids Tokyo Asakusa-Bashi Hotel&Hostel","https://www.hostelworld.com/hosteldetails.php/Grids-Tokyo-Asakusa-Bashi-Hotel-and-Hostel/Tokyo/280284",9.4,"CA$22.56","8.3km from city centre  - Show on Map"
"7","Sakura Hostel Asakusa","https://www.hostelworld.com/hosteldetails.php/Sakura-Hostel-Asakusa/Tokyo/15725",8.9,"CA$28.74","9.8km from city centre  - Show on Map"
"8","Oakhostel Cabin","https://www.hostelworld.com/hosteldetails.php/Oakhostel-Cabin/Tokyo/93143",8.7,"CA$25.14","8.6km from city centre  - Show on Map"
"9","Imano Tokyo Ginza Hostel","https://www.hostelworld.com/hosteldetails.php/Imano-Tokyo-Ginza-Hostel/Tokyo/279367",8.6,"CA$27.54","7.6km from city centre  - Show on Map"
"10","Hostel bedgasm","https://www.hostelworld.com/hosteldetails.php/Hostel-bedgasm/Tokyo/272463",9.6,"CA$34.72","9.5km from city centre  - Show on Map"
"11","GRIDS TOKYO AKIHABARA HOTEL&HOSTEL","https://www.hostelworld.com/hosteldetails.php/GRIDS-TOKYO-AKIHABARA-HOTEL-and-HOSTEL/Tokyo/95001",9,"CA$28.74","8km from city centre  - Show on Map"
"12","Bunka Hostel Tokyo","https://www.hostelworld.com/hosteldetails.php/Bunka-Hostel-Tokyo/Tokyo/100416",9,"CA$25.86","9.5km from city centre  - Show on Map"
"13","Sakura Hotel Nippori","https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Nippori/Tokyo/277119",9.4,"CA$22.63","7.8km from city centre  - Show on Map"
"14","Guesthouse Fete","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Fete/Tokyo/263266",9.2,"CA$27.54","9.7km from city centre  - Show on Map"
"15","Wise Owl Hostels Tokyo","https://www.hostelworld.com/hosteldetails.php/Wise-Owl-Hostels-Tokyo/Tokyo/268185",9.2,"CA$23.95","7.9km from city centre  - Show on Map"
"16","Nui. Hostel & Bar Lounge","https://www.hostelworld.com/hosteldetails.php/Nui-Hostel-and-Bar-Lounge/Tokyo/67481",9.5,"CA$29.93","9.3km from city centre  - Show on Map"
"17","Anne Hostel Yokozuna","https://www.hostelworld.com/hosteldetails.php/Anne-Hostel-Yokozuna/Tokyo/91050",9,"CA$21.55","9.5km from city centre  - Show on Map"
"18","CITAN Hostel","https://www.hostelworld.com/hosteldetails.php/CITAN-Hostel/Tokyo/274237",9.4,"CA$29.93","8.1km from city centre  - Show on Map"
"19","Hostel&Café East57 Asakusabashi","https://www.hostelworld.com/hosteldetails.php/HostelCafe-East57-Asakusabashi/Tokyo/277115",8.4,"CA$26.34","8.7km from city centre  - Show on Map"
"20","Wise Owl Hostels Shibuya","https://www.hostelworld.com/hosteldetails.php/Wise-Owl-Hostels-Shibuya/Tokyo/275924",9.1,"CA$29.93","4km from city centre  - Show on Map"
"21","Backpackers Hostel K's House Tokyo","https://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-K-s-House-Tokyo/Tokyo/16019",9.4,"CA$24.55","9.2km from city centre  - Show on Map"
"22","Kaisu Hostel","https://www.hostelworld.com/hosteldetails.php/Kaisu-Hostel/Tokyo/98774",9.5,"CA$46.70","4.4km from city centre  - Show on Map"
"23","Anne Hostel Asakusabashi","https://www.hostelworld.com/hosteldetails.php/Anne-Hostel-Asakusabashi/Tokyo/32652",9,"CA$23.95","8.9km from city centre  - Show on Map"
"24","Unplan Kagurazaka","https://www.hostelworld.com/hosteldetails.php/Unplan-Kagurazaka/Tokyo/265421",9.5,"CA$38.32","4km from city centre  - Show on Map"
"25","UNPLAN Shinjuku","https://www.hostelworld.com/hosteldetails.php/UNPLAN-Shinjuku/Tokyo/294428",9.7,"CA$41.91","1.8km from city centre  - Show on Map"
"26","hostel DEN","https://www.hostelworld.com/hosteldetails.php/hostel-DEN/Tokyo/284821",9.3,"CA$29.57","7.7km from city centre  - Show on Map"
"27","Imano Tokyo Hostel","https://www.hostelworld.com/hosteldetails.php/Imano-Tokyo-Hostel/Tokyo/100620",8.8,"CA$39.51","1.5km from city centre  - Show on Map"
"28","Hikari House","https://www.hostelworld.com/hosteldetails.php/Hikari-House/Tokyo/101241",8.9,"CA$47.89","1.4km from city centre  - Show on Map"
"29","The Millennials Shibuya","https://www.hostelworld.com/hosteldetails.php/The-Millennials-Shibuya/Tokyo/285601",9.7,"CA$101.78","3.1km from city centre  - Show on Map"
"30","Hotel&Hostel On the Marks Tokyo Kawasaki","https://www.hostelworld.com/hosteldetails.php/Hotel-and-Hostel-On-the-Marks-Tokyo-Kawasaki/Tokyo/99126",9.3,"CA$22.75","18.1km from city centre  - Show on Map"
"31","Hotel Graphy Nezu","https://www.hostelworld.com/hosteldetails.php/Hotel-Graphy-Nezu/Tokyo/73386",8.7,"CA$21.55","7.6km from city centre  - Show on Map"
"32","Khaosan Tokyo Origami","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Origami/Tokyo/88794",9.4,"CA$29.93","10km from city centre  - Show on Map"
"33","RYOKAN&HOSTEL WASABI Nippori","https://www.hostelworld.com/hosteldetails.php/RYOKANHOSTEL-WASABI-Nippori/Tokyo/88791",9.5,"CA$23.95","9.1km from city centre  - Show on Map"
"34","IRORI Nihonbashi Hostel and Kitchen","https://www.hostelworld.com/hosteldetails.php/IRORI-Nihonbashi-Hostel-and-Kitchen/Tokyo/100932",8,"CA$25.14","8.3km from city centre  - Show on Map"
"35","Khaosan Tokyo Samurai","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Samurai/Tokyo/95634",9.1,"CA$29.93","9.5km from city centre  - Show on Map"
"36","AS House (Asakusa Smile)","https://www.hostelworld.com/hosteldetails.php/AS-House-Asakusa-Smile/Tokyo/31305",8,"CA$19.16","10km from city centre  - Show on Map"
